adjudication_id,mdr_report_keys,mdr_report_count,manufacturer,brand_model,mechanism_class,adjudication_status,clinical_device_phenotype
BAT2026-027,24163981,1,MEDTRONIC EUROPE SARL,VISIA AF MRI XT VR SURESCAN DVFB2D4,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-028,24339208,1,BIOTRONIK SE & CO. KG,INTICA 5 HF-T QP DF4 IS4 PROMRI 404685,LITHIUM_PLATING_INCIDENTAL,MECHANISM_RULED_OUT,ERI_EOS
BAT2026-029,24247655,1,BIOTRONIK SE & CO. KG,ETRINSA 8 SR-T PROMRI 394978,INTERNAL_SHORT_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-030,24345052,1,BIOTRONIK SE & CO. KG,RIVACOR 7 VR-T DX DF4 PROMRI 429535,INTERNAL_INSULATION_DAMAGE_SHORT,CONFIRMED_CELL_MECHANISM,NO_INTERROGATION
BAT2026-031,24254276,1,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)","FORTIFY ASSURA VR ICD, US CD1357-40Q",LITHIUM_CLUSTER_SHORT,PROBABLE_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-032,24248725,1,MEDTRONIC EUROPE SARL,VISIA AF MRI XT VR SURESCAN DVFB2D4,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-033,24757292,1,BOSTON SCIENTIFIC CORPORATION,DYNAGEN EL ICD VR D150,LATENT_ANODE_CATHODE_LEAKAGE,CONFIRMED_CELL_MECHANISM,LOW_VOLTAGE_ALERT
BAT2026-034,23960335,1,BIOTRONIK SE & CO. KG,ECURO DR PROMRI 377365,INTERNAL_SHORT_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-035,24256703,1,BOSTON SCIENTIFIC CORPORATION,VIGILANT EL ICD DR D233,LATENT_ANODE_CATHODE_LEAKAGE,CONFIRMED_CELL_MECHANISM,LOW_VOLTAGE_ALERT
BAT2026-036,24837211,1,BIOTRONIK SE & CO. KG,ECURO DR PROMRI 377365,INTERNAL_SHORT_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-037,24175731,1,BOSTON SCIENTIFIC CORPORATION,RESONATE EL ICD DR D433,LATENT_ANODE_CATHODE_LEAKAGE,CONFIRMED_CELL_MECHANISM,LOW_VOLTAGE_ALERT
BAT2026-038,50304645,1,BOSTON SCIENTIFIC CORPORATION,INOGEN EL ICD VR D140,INTERNAL_SHORT_UNSPECIFIED,PROBABLE_DEVICE_DATA,LOW_VOLTAGE_ALERT
BAT2026-039,24086297,1,BIOTRONIK SE & CO. KG,RIVACOR 7 VR-T DF4 PROMRI 429536,INTERNAL_SELF_DEPLETION_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-040,24415995,1,BIOTRONIK SE & CO. KG,ACTICOR 7 DR-T DF4 PROMRI 429524,INTERNAL_INSULATION_DAMAGE_SHORT,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-041,25861896,1,BIOTRONIK SE & CO. KG,ESTELLA DR PROMRI 377381,INTERNAL_SHORT_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-042,24714520,1,ABBOTT,"CURRENT PLUS VR, DF-4 CONNECTOR CD1211-36Q",LITHIUM_CLUSTER_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION;ERI_EOS
